Timestamp,Bar,Close,FastEMA,SlowEMA,FastGradient,SlowGradient,PrevSignal,NewSignal,MyPosition,ActualPosition,Action,Notes,InWeakDelay,SignalStartBar,LastTradeBar,PriceGradient,BarsSinceEntry,EntryBar,EntryPrice,ExitPending,ExitPendingSide,ExitPendingAnchorFastEMA,ExitPendingEMADelta,MinHoldBars,InExitCooldown,CooldownSecsLeft,TradeMFE,TradeMAE,UnrealizedPoints
2025-11-21 01:13:00,25,24052.25,24049.58,24060.05,0.5927,-0.8208,FLAT,FLAT,FLAT,Flat,HEARTBEAT,HEARTBEAT: Signal=FLAT MyPos=FLAT NTPos=Flat FastGrad=0.5927 SlowGrad=-0.8208 Close=24052.25 FastEMA=24049.58 SlowEMA=24060.05 InWeakDelay=False SignalStartBar=-1 LastTradeBar=-1,0,-1,-1,-0.2500,-1,-1,0.00,0,,0.00,0.00,1,0,0,0.00,0.00,0.00
2025-11-21 01:14:30,28,24077.00,24059.96,24063.19,3.7876,1.4537,FLAT,LONG,FLAT,Flat,SIGNAL_CHANGE,PriceGrad:0.50,0,-1,-1,0.5000,-1,-1,0.00,0,,0.00,0.00,1,0,0,0.00,0.00,0.00
2025-11-21 01:14:30,28,24077.00,24059.96,24063.19,3.7876,1.4537,LONG,LONG,FLAT,Flat,ENTRY_DECISION,ENTRY_DECISION: Signal=LONG Bar=1/1 Valid=True ShouldReverse=False PriceRising=True FastGrad=3.7876(POS) SlowGrad=1.4537(POS) Close=24077.00 FastEMA=24059.96(ABOVE) SlowEMA=24063.19(ABOVE),0,28,-1,0.5000,-1,-1,0.00,0,,0.00,0.00,1,0,0,0.00,0.00,0.00
2025-11-21 01:14:30,28,24077.00,24059.96,24063.19,3.7876,1.4537,LONG,LONG,LONG,Flat,ENTRY,EnterLong_Bar1,0,28,28,0.5000,0,28,24077.00,0,,0.00,0.00,1,0,0,0.00,0.00,0.00
2025-11-21 01:27:00,53,24109.00,24113.95,24108.10,-1.0998,0.0952,LONG,FLAT,LONG,Long,EXIT,VALIDATION_FAILED: FastGrad<=-1.0998(need>0.25),0,28,28,-0.2500,25,28,24077.00,1,LONG,24116.00,2.05,1,0,0,50.75,5.00,32.00
2025-11-21 01:28:00,55,24124.25,24118.17,24111.54,1.3521,1.3380,FLAT,LONG,FLAT,Flat,SIGNAL_CHANGE,PriceGrad:-0.75,0,-1,53,-0.7500,-1,-1,0.00,1,LONG,24116.00,-2.16,1,0,0,0.00,0.00,0.00
2025-11-21 01:28:00,55,24124.25,24118.17,24111.54,1.3521,1.3380,LONG,LONG,FLAT,Flat,ENTRY_DECISION,ENTRY_DECISION: Signal=LONG Bar=1/1 Valid=True ShouldReverse=False PriceRising=False FastGrad=1.3521(POS) SlowGrad=1.3380(POS) Close=24124.25 FastEMA=24118.17(ABOVE) SlowEMA=24111.54(ABOVE),0,55,53,-0.7500,-1,-1,0.00,1,LONG,24116.00,-2.16,1,0,0,0.00,0.00,0.00
2025-11-21 01:28:00,55,24124.25,24118.17,24111.54,1.3521,1.3380,LONG,LONG,LONG,Flat,ENTRY,EnterLong_Bar1,0,55,55,-0.7500,0,55,24124.25,0,,0.00,0.00,1,0,0,0.00,0.00,0.00
2025-11-21 01:31:00,61,24110.00,24118.99,24115.69,-1.9987,-0.5987,LONG,SHORT,LONG,Long,EXIT,VALIDATION_FAILED: FastGrad<=-1.9987(need>0.25),0,55,55,0.2500,6,55,24124.25,1,LONG,24123.08,4.09,1,0,0,5.50,0.00,-14.25
2025-11-21 01:31:30,62,24115.00,24118.90,24115.99,-0.8667,-0.1041,FLAT,SHORT,FLAT,Flat,SIGNAL_CHANGE,PriceGrad:0.75,0,-1,61,0.7500,-1,-1,0.00,1,LONG,24123.08,4.18,1,0,0,0.00,0.00,0.00
