ts_local,bar_time_utc,bar_index,open,high,low,close,vpm,attract,objection,netflow,ema_color,momentum,supertrend,upper_band,lower_band,bull_cross,bear_cross,bull_cross_raw,bear_cross_raw,bull_reason,bear_reason,realtime_state,realtime_reason,regime,atr30,ema10,ema20,energy_ema_first,range_max,range_min,range_mid,range_os,range_count,score_bull,score_bear,adx,atr_ratio,ema_spread,price_to_band,momentum_ext,curvature_ratio,range_break,exit_long,exit_short
2025-11-19 01:00:30.000,2025-11-19T07:00:30.0000000Z,0,24547,24569,24539,24560.5,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,15.125,24560.454545454544,24560.476190476191,24567.25,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-19 01:01:00.000,2025-11-19T07:01:00.0000000Z,1,24560.25,24563.25,24547,24551,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,15.916666666666666,24557.632231404958,24558.919501133787,24564.780000000002,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-19 01:01:30.000,2025-11-19T07:01:30.0000000Z,2,24552.5,24569.75,24547.5,24559.75,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,17.4375,24559.323065364388,24559.742360436241,24566.784000000003,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-19 01:02:00.000,2025-11-19T07:02:00.0000000Z,3,24561,24576,24561,24569,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,17.149999999999999,24562.454408851852,24561.408620893562,24569.827200000003,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-19 01:02:30.000,2025-11-19T07:02:30.0000000Z,4,24570,24578.75,24568.25,24577.25,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,15.875,24566.223028730023,24563.542040218894,24572.711760000006,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-19 01:03:00.000,2025-11-19T07:03:00.0000000Z,5,24577.25,24580.25,24574.75,24576.5,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,14.428571428571429,24567.93454416754,24564.687696252466,24573.899408000005,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-19 01:03:30.000,2025-11-19T07:03:30.0000000Z,6,24576.25,24583.5,24576,24578.25,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,13.53125,24570.107602252778,24566.151679829331,24575.929526400007,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-19 01:04:00.000,2025-11-19T07:04:00.0000000Z,7,24578.25,24579,24566,24576.25,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,13.5,24570.88142663657,24566.917279482772,24576.063621120007,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-19 01:04:30.000,2025-11-19T07:04:30.0000000Z,8,24576,24589.75,24575.5,24587.75,4,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,13.625,24575.832737496035,24569.98524833022,24580.750896896006,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-19 01:05:00.000,2025-11-19T07:05:00.0000000Z,9,24588.5,24590,24585.5,24586.5,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,12.795454545454545,24577.61108274469,24571.457174793104,24582.290717516807,,,,0,,,0,0,,,,0,,0,0,0,0
2025-11-19 01:05:30.000,2025-11-19T07:05:30.0000000Z,10,24587.25,24595,24587,24594.25,2,6.5022152350332671,1,5.5022152350332671,15,,24555.900000000001,24617.099999999999,24555.900000000001,1,0,1,0,[CROSS]|[EMA15-STABLE]|[RT-BULL]|[RT-PLOT],[GUARD-EMA15],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BULL,12.395833333333334,24581.632208196068,24574.207285130266,24585.872574013447,,,,0,,,6,4,,,,0,,1.6883228698257402,0,0,0
2025-11-19 01:06:00.000,2025-11-19T07:06:00.0000000Z,11,24594,24609,24592.75,24605.25,2,7.3352786976261468,0.5,6.8352786976261468,15,,24555.900000000001,24617.099999999999,24555.900000000001,0,0,0,0,[EMA15-STABLE]|[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],[GUARD-EMA15],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BULL,12.673076923076923,24587.599905879426,24578.133121920579,24592.148059210758,,,,0,,,5,5,,,,0,,1.6700641309366493,0,0,0
2025-11-19 01:06:30.000,2025-11-19T07:06:30.0000000Z,12,24605.25,24608.75,24595.5,24601.25,2,7.4983038252163237,2.5,4.9983038252163237,15,,24555.900000000001,24617.099999999999,24555.900000000001,0,0,0,0,[EMA15-STABLE]|[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],,BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BULL,12.785714285714286,24589.668518033581,24580.085296250138,24594.728447368609,,,,0,,,5,5,62.354841108090007,,,0,,2.3464100718947503,0,0,0
2025-11-19 01:07:00.000,2025-11-19T07:07:00.0000000Z,13,24602.25,24605.25,24595.75,24600.75,2,7.5,0.5,7,15,,24555.900000000001,24617.099999999999,24555.900000000001,0,0,0,0,[EMA15-STABLE]|[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],[GUARD-EMA15],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BULL,12.550000000000001,24591.323828804332,24581.852683001827,24596.262757894889,,,,0,,,4,4,62.672708118448725,,,0,0,2.3723353581566107,0,0,0
2025-11-19 01:07:30.000,2025-11-19T07:07:30.0000000Z,14,24600,24605.25,24595,24598,2,7.5,3,4.5,15,0.0015268418802548808,24555.900000000001,24617.099999999999,24555.900000000001,0,0,0,0,[EMA15-STABLE]|[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],[GUARD-EMA15],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BULL,12.40625,24592.103793815113,24583.146758543604,24597.300206315911,,,,0,,,4,4,62.663906263174347,,,0,0,2.037730353614533,0,0,0
2025-11-19 01:08:00.000,2025-11-19T07:08:00.0000000Z,15,24597.25,24601.75,24589.25,24593.5,2,6.9707646965424059,3.5,3.4707646965424059,13,0.0017310903832837767,24555.900000000001,24617.099999999999,24555.900000000001,0,0,0,0,,[RT-FLAT],FLAT,NONE_DOWN|diff=-3.75|BULL_FAIL:obj>3.00|BEAR_FAIL:net>-0.50&obj<4.00&ema>6,BULL,12.411764705882353,24591.936161881786,24583.881080859181,24597.41016505273,,,,0,,,4,4,60.569475347892435,,,0,0,1.8614029762565698,0,0,0
2025-11-19 01:08:30.000,2025-11-19T07:08:30.0000000Z,16,24594.25,24602,24591.75,24597.5,2,6.9281622743922835,1.5,5.4281622743922835,14,0.001537067763311923,24555.900000000001,24617.099999999999,24555.900000000001,0,0,0,0,[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],[RT-BULL],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BULL,12.305555555555555,24593.249421704932,24585.362928033592,24598.468132042184,,,,0,,,4,4,59.732233822678062,,,0,0,2.351458055685963,0,0,0
2025-11-19 01:09:00.000,2025-11-19T07:09:00.0000000Z,17,24596.5,24601.75,24595,24599,2,5.9254520129407222,1.5,4.4254520129407222,14,0.0012210509178232733,24555.900000000001,24617.099999999999,24555.900000000001,0,0,0,0,[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],[RT-BULL],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BULL,11.973684210526315,24594.712336766843,24586.900925817241,24599.464505633747,,,,0,,,3,3,58.93908625255888,,,0,0,7.6143939821944313,0,0,0
2025-11-19 01:09:30.000,2025-11-19T07:09:30.0000000Z,18,24599.25,24599.25,24589,24591.75,2,6.2188944720604926,3.5,2.7188944720604926,11,0.00058997650265998024,24555.900000000001,24617.099999999999,24555.900000000001,0,0,0,0,,[RT-FLAT],FLAT,NONE_DOWN|diff=-7.50|BULL_FAIL:obj>3.00|BEAR_FAIL:net>-0.50&obj<4.00&ema>6,BULL,11.875,24593.058027602623,24586.716483902674,24597.921604506999,,,,0,0,,2,2,55.883488572810037,,,0,0,1.8576135449777773,0,0,0
2025-11-19 01:10:00.000,2025-11-19T07:10:00.0000000Z,19,24591.75,24592.75,24581.75,24584.5,2,5.8795987297165357,3.5,2.3795987297165357,4,0.00032551421072976215,24555.900000000001,24617.099999999999,24555.900000000001,0,0,0,0,,[RT-FLAT],FLAT,NONE_DOWN|diff=-7.25|BULL_FAIL:obj>3.00&ema<8|BEAR_FAIL:net>-0.50&obj<4.00,BULL,11.880952380952381,24590.241692005449,24585.785435549133,24595.197283605601,,,,0,0,,3,3,51.830528090162538,,,0,0,1.6798514832545788,0,0,0
2025-11-19 01:10:30.000,2025-11-19T07:10:30.0000000Z,20,24583.5,24589.5,24577,24584,2,5.5860974309394678,1.5,4.0860974309394678,3,0.00023394668050003559,24555.900000000001,24617.099999999999,24555.900000000001,0,0,0,0,,[RT-FLAT],FLAT,FLAT|diff=0.50|BULL_FAIL:ema<8|BEAR_FAIL:net>-0.50&obj<4.00,BULL,11.875,24589.226673624289,24585.682287492298,24593.96782688448,,,,0,0,,3,3,47.87501389807187,,,0,0,6.2377911566838957,0,0,0
